session_id,start_time,end_time,duration,keypresses
94,2020-08-12 07:01:50.800,2020-08-12 07:01:59.933,0 days 00:00:09.133000,26
95,2020-08-12 07:03:36.774,2020-08-12 07:04:38.456,0 days 00:01:01.682000,127
96,2020-08-12 07:14:56.461,2020-08-12 07:15:55.055,0 days 00:00:58.594000,125
97,2020-08-12 07:17:50.152,2020-08-12 07:20:16.328,0 days 00:02:26.176000,310
98,2020-08-12 07:24:27.096,2020-08-12 07:24:48.923,0 days 00:00:21.827000,57
99,2020-08-12 08:38:21.966,2020-08-12 08:38:49.066,0 days 00:00:27.100000,74
100,2020-08-12 08:39:49.533,2020-08-12 08:39:55.920,0 days 00:00:06.387000,22
101,2020-08-12 08:48:32.969,2020-08-12 08:48:53.073,0 days 00:00:20.104000,53
102,2020-08-12 08:50:56.365,2020-08-12 08:51:25.503,0 days 00:00:29.138000,71
103,2020-08-12 09:22:10.949,2020-08-12 09:22:26.062,0 days 00:00:15.113000,50
104,2020-08-12 09:25:18.045,2020-08-12 09:29:26.874,0 days 00:04:08.829000,297
105,2020-08-12 09:33:23.813,2020-08-12 09:36:16.018,0 days 00:02:52.205000,209
106,2020-08-12 09:38:37.835,2020-08-12 09:39:03.098,0 days 00:00:25.263000,93
107,2020-08-12 10:03:27.122,2020-08-12 10:03:58.483,0 days 00:00:31.361000,64
108,2020-08-12 10:05:30.748,2020-08-12 10:06:59.097,0 days 00:01:28.349000,90
109,2020-08-12 10:08:58.085,2020-08-12 10:12:59.033,0 days 00:04:00.948000,270
110,2020-08-12 10:15:16.509,2020-08-12 10:18:50.730,0 days 00:03:34.221000,193
111,2020-08-12 10:26:15.394,2020-08-12 10:29:26.684,0 days 00:03:11.290000,280
112,2020-08-12 10:33:08.497,2020-08-12 10:33:23.711,0 days 00:00:15.214000,43
113,2020-08-12 10:36:02.554,2020-08-12 10:37:20.695,0 days 00:01:18.141000,185
114,2020-08-12 10:38:35.580,2020-08-12 10:39:07.208,0 days 00:00:31.628000,68
115,2020-08-12 10:40:13.868,2020-08-12 10:43:40.077,0 days 00:03:26.209000,351
116,2020-08-12 10:55:42.971,2020-08-12 10:57:53.098,0 days 00:02:10.127000,248
117,2020-08-12 11:03:59.143,2020-08-12 11:04:22.765,0 days 00:00:23.622000,91
118,2020-08-12 11:09:20.337,2020-08-12 11:09:36.574,0 days 00:00:16.237000,66
119,2020-08-12 11:31:08.910,2020-08-12 11:32:18.967,0 days 00:01:10.057000,146
120,2020-08-12 11:33:32.256,2020-08-12 11:34:01.550,0 days 00:00:29.294000,117
121,2020-08-12 11:36:01.863,2020-08-12 11:36:07.894,0 days 00:00:06.031000,14
122,2020-08-12 12:37:12.333,2020-08-12 12:39:23.513,0 days 00:02:11.180000,313
123,2020-08-12 12:50:26.552,2020-08-12 12:52:07.420,0 days 00:01:40.868000,202
124,2020-08-12 12:53:40.600,2020-08-12 13:00:18.499,0 days 00:06:37.899000,476
125,2020-08-12 13:09:42.277,2020-08-12 13:21:31.689,0 days 00:11:49.412000,1160
126,2020-08-12 13:30:39.093,2020-08-12 13:30:51.035,0 days 00:00:11.942000,50
127,2020-08-12 13:35:48.552,2020-08-12 13:36:03.538,0 days 00:00:14.986000,46
128,2020-08-12 13:39:02.819,2020-08-12 13:39:38.239,0 days 00:00:35.420000,115
129,2020-08-12 13:52:08.916,2020-08-12 13:53:26.703,0 days 00:01:17.787000,165
