session_id,start_time,end_time,start_ts,end_ts,duration,keypresses
56,2020-08-11T09:55:08.714000000,2020-08-11T09:56:28.621000000,2020-08-11T09:55:08.714000000,2020-08-11T09:56:28.621000000,79907000000 nanoseconds,221
57,2020-08-11T11:49:28.393000000,2020-08-11T11:51:33.294000000,2020-08-11T11:49:28.393000000,2020-08-11T11:51:33.294000000,124901000000 nanoseconds,296
58,2020-08-11T11:55:55.757000000,2020-08-11T11:56:26.944000000,2020-08-11T11:55:55.757000000,2020-08-11T11:56:26.944000000,31187000000 nanoseconds,65
59,2020-08-11T12:08:54.902000000,2020-08-11T12:09:51.789000000,2020-08-11T12:08:54.902000000,2020-08-11T12:09:51.789000000,56887000000 nanoseconds,185
60,2020-08-11T12:19:12.736000000,2020-08-11T12:20:13.331000000,2020-08-11T12:19:12.736000000,2020-08-11T12:20:13.331000000,60595000000 nanoseconds,178
61,2020-08-11T12:34:09.502000000,2020-08-11T12:34:25.950000000,2020-08-11T12:34:09.502000000,2020-08-11T12:34:25.950000000,16448000000 nanoseconds,27
62,2020-08-11T12:45:13.944000000,2020-08-11T12:46:07.371000000,2020-08-11T12:45:13.944000000,2020-08-11T12:46:07.371000000,53427000000 nanoseconds,134
63,2020-08-11T12:47:12.720000000,2020-08-11T12:48:06.812000000,2020-08-11T12:47:12.720000000,2020-08-11T12:48:06.812000000,54092000000 nanoseconds,134
64,2020-08-11T13:10:30.176000000,2020-08-11T13:12:38.422000000,2020-08-11T13:10:30.176000000,2020-08-11T13:12:38.422000000,128246000000 nanoseconds,211
65,2020-08-11T13:25:24.348000000,2020-08-11T13:26:49.581000000,2020-08-11T13:25:24.348000000,2020-08-11T13:26:49.581000000,85233000000 nanoseconds,143
66,2020-08-11T13:28:34.785000000,2020-08-11T13:28:54.672000000,2020-08-11T13:28:34.785000000,2020-08-11T13:28:54.672000000,19887000000 nanoseconds,58
67,2020-08-11T13:37:11.486000000,2020-08-11T13:37:50.052000000,2020-08-11T13:37:11.486000000,2020-08-11T13:37:50.052000000,38566000000 nanoseconds,113
68,2020-08-11T14:26:38.998000000,2020-08-11T14:26:42.065000000,2020-08-11T14:26:38.998000000,2020-08-11T14:26:42.065000000,3067000000 nanoseconds,13
69,2020-08-11T14:29:16.404000000,2020-08-11T14:30:49.207000000,2020-08-11T14:29:16.404000000,2020-08-11T14:30:49.207000000,92803000000 nanoseconds,272
70,2020-08-11T14:34:03.671000000,2020-08-11T14:34:21.688000000,2020-08-11T14:34:03.671000000,2020-08-11T14:34:21.688000000,18017000000 nanoseconds,17
71,2020-08-11T14:37:36.180000000,2020-08-11T14:37:48.474000000,2020-08-11T14:37:36.180000000,2020-08-11T14:37:48.474000000,12294000000 nanoseconds,16
72,2020-08-11T14:39:18.337000000,2020-08-11T14:39:26.942000000,2020-08-11T14:39:18.337000000,2020-08-11T14:39:26.942000000,8605000000 nanoseconds,23
73,2020-08-11T14:42:22.692000000,2020-08-11T14:43:18.323000000,2020-08-11T14:42:22.692000000,2020-08-11T14:43:18.323000000,55631000000 nanoseconds,198
74,2020-08-11T15:17:41.001000000,2020-08-11T15:19:25.379000000,2020-08-11T15:17:41.001000000,2020-08-11T15:19:25.379000000,104378000000 nanoseconds,228
